epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.0479,5.18663,3.40823,3.39931,0.02712,0.0549,0.01458,0.00407,3.75181,2.77392,2.39422,0.0006633,0.0006633,0.0006633
2,108.894,3.62805,2.53321,2.29876,0.21785,0.14423,0.10476,0.03213,3.55514,2.46767,2.17571,0.00132119,0.00132119,0.00132119
3,145.943,3.14469,2.1904,1.91343,0.3316,0.25464,0.23012,0.07878,2.81222,2.12208,1.72022,0.00197028,0.00197028,0.00197028
4,262.505,2.85494,2.00646,1.69393,0.47406,0.37173,0.37089,0.13874,2.61359,1.83902,1.57347,0.0019604,0.0019604,0.0019604
5,1239.82,2.65105,1.82397,1.5667,0.51166,0.40931,0.41822,0.16898,2.37019,1.69874,1.44505,0.0019472,0.0019472,0.0019472
6,1287.37,2.4886,1.71693,1.48394,0.5932,0.46885,0.50362,0.22035,2.16208,1.48006,1.35393,0.001934,0.001934,0.001934
7,1324.66,2.4208,1.65912,1.44268,0.63957,0.49029,0.54851,0.24292,2.19239,1.38659,1.34883,0.0019208,0.0019208,0.0019208
8,1374.52,2.35611,1.59584,1.3984,0.64971,0.50703,0.55886,0.2518,2.10247,1.41272,1.30538,0.0019076,0.0019076,0.0019076
9,1414.4,2.2998,1.56316,1.35919,0.66389,0.54865,0.59393,0.26854,2.04483,1.34677,1.27613,0.0018944,0.0018944,0.0018944
10,1451.29,2.25688,1.48415,1.33846,0.67128,0.54346,0.60184,0.28777,1.95024,1.35291,1.23627,0.0018812,0.0018812,0.0018812
11,1510.38,2.23279,1.48021,1.33523,0.66828,0.54986,0.57906,0.26974,1.93617,1.29114,1.23445,0.001868,0.001868,0.001868
12,1571.54,2.20445,1.47609,1.31876,0.68027,0.55163,0.59288,0.2795,1.94035,1.27271,1.22688,0.0018548,0.0018548,0.0018548
13,1609.33,2.17797,1.4373,1.30138,0.69467,0.57918,0.63756,0.31033,1.9165,1.30248,1.20783,0.0018416,0.0018416,0.0018416
14,1649.67,2.15305,1.43708,1.29306,0.69706,0.57245,0.6268,0.30768,1.89077,1.22527,1.20094,0.0018284,0.0018284,0.0018284
15,1708.88,2.14182,1.41797,1.27602,0.69,0.56539,0.61595,0.27569,1.92581,1.2622,1.20876,0.0018152,0.0018152,0.0018152
16,1778.62,2.13645,1.42416,1.27641,0.68792,0.56355,0.59306,0.27863,1.87768,1.25275,1.19234,0.001802,0.001802,0.001802
17,2682.02,2.11024,1.4018,1.26558,0.703,0.58952,0.63823,0.30869,1.84033,1.23089,1.1752,0.0017888,0.0017888,0.0017888
18,2724.59,2.09909,1.38081,1.26166,0.70848,0.60172,0.65559,0.32965,1.81472,1.17516,1.16077,0.0017756,0.0017756,0.0017756
